[19:21:49] Epoch 1/200, Iter 48/228,Total Loss 0.524868, Loss_seg 1.594538,fusecross:0.652198, fusedice:0.942340,spec_modal_loss:0.6880441904067993 , circleloss[loss flair->t1:0.515616, loss t1->t1c:0.532449, loss t1c->t2:0.595997, loss t2->flair:0.524868, ], use_modality:[0, 3, 2, 1]
[19:21:49] Epoch 1/200, Iter 49/228,Total Loss 0.474311, Loss_seg 1.586090,fusecross:0.648234, fusedice:0.937856,spec_modal_loss:1.3062827587127686 , circleloss[loss flair->t1:0.466415, loss t1->t1c:0.469169, loss t1c->t2:0.518740, loss t2->flair:0.474311, ], use_modality:[0, 1, 3, 2]
[19:21:49] Epoch 1/200, Iter 50/228,Total Loss 0.527807, Loss_seg 1.632323,fusecross:0.654270, fusedice:0.978053,spec_modal_loss:0.8695081472396851 , circleloss[loss flair->t1:0.519191, loss t1->t1c:0.526582, loss t1c->t2:0.592951, loss t2->flair:0.527807, ], use_modality:[0, 2, 3, 1]
[19:21:50] Epoch 1/200, Iter 51/228,Total Loss 0.522511, Loss_seg 1.592262,fusecross:0.650444, fusedice:0.941818,spec_modal_loss:1.1022051572799683 , circleloss[loss flair->t1:0.516545, loss t1->t1c:0.532071, loss t1c->t2:0.586863, loss t2->flair:0.522511, ], use_modality:[2, 1, 3, 0]
[19:21:50] Epoch 1/200, Iter 52/228,Total Loss 0.523658, Loss_seg 1.544056,fusecross:0.634800, fusedice:0.909256,spec_modal_loss:1.237306833267212 , circleloss[loss flair->t1:0.513524, loss t1->t1c:0.529842, loss t1c->t2:0.587785, loss t2->flair:0.523658, ], use_modality:[2, 1, 3, 0]
[19:21:50] Epoch 1/200, Iter 53/228,Total Loss 0.515397, Loss_seg 1.607998,fusecross:0.645921, fusedice:0.962077,spec_modal_loss:0.516419529914856 , circleloss[loss flair->t1:0.503109, loss t1->t1c:0.529960, loss t1c->t2:0.586398, loss t2->flair:0.515397, ], use_modality:[2, 3, 1, 0]
[19:21:50] Epoch 1/200, Iter 54/228,Total Loss 0.520631, Loss_seg 1.645279,fusecross:0.651636, fusedice:0.993643,spec_modal_loss:1.8439390659332275 , circleloss[loss flair->t1:0.505591, loss t1->t1c:0.521887, loss t1c->t2:0.580752, loss t2->flair:0.520631, ], use_modality:[0, 3, 2, 1]
[19:21:50] Epoch 1/200, Iter 55/228,Total Loss 0.452359, Loss_seg 1.621971,fusecross:0.639342, fusedice:0.982629,spec_modal_loss:1.247302770614624 , circleloss[loss flair->t1:0.438351, loss t1->t1c:0.444068, loss t1c->t2:0.499280, loss t2->flair:0.452359, ], use_modality:[1, 0, 3, 2]
[19:21:51] Epoch 1/200, Iter 56/228,Total Loss 0.513251, Loss_seg 1.602665,fusecross:0.634200, fusedice:0.968465,spec_modal_loss:0.7048143148422241 , circleloss[loss flair->t1:0.502199, loss t1->t1c:0.521051, loss t1c->t2:0.569881, loss t2->flair:0.513251, ], use_modality:[0, 3, 2, 1]
[19:21:51] Epoch 1/200, Iter 57/228,Total Loss 0.521140, Loss_seg 1.602447,fusecross:0.633569, fusedice:0.968877,spec_modal_loss:1.2161424160003662 , circleloss[loss flair->t1:0.510419, loss t1->t1c:0.519750, loss t1c->t2:0.576816, loss t2->flair:0.521140, ], use_modality:[3, 2, 1, 0]
[19:21:51] Epoch 1/200, Iter 58/228,Total Loss 0.462134, Loss_seg 1.558813,fusecross:0.620719, fusedice:0.938094,spec_modal_loss:1.420546054840088 , circleloss[loss flair->t1:0.449875, loss t1->t1c:0.452208, loss t1c->t2:0.500737, loss t2->flair:0.462134, ], use_modality:[3, 2, 1, 0]
[19:21:51] Epoch 1/200, Iter 59/228,Total Loss 0.515682, Loss_seg 1.596959,fusecross:0.636884, fusedice:0.960075,spec_modal_loss:1.7458176612854004 , circleloss[loss flair->t1:0.491469, loss t1->t1c:0.517012, loss t1c->t2:0.580077, loss t2->flair:0.515682, ], use_modality:[1, 2, 3, 0]
[19:21:52] -------- Dice_ET = 0.014914719856370284, Dice_WT = 0.09985973383272602, Dice_TC = 0.029619702327176856
[19:21:52] Epoch 1/200, Iter 60/228,Total Loss 0.518033, Loss_seg 1.600784,fusecross:0.622481, fusedice:0.978303,spec_modal_loss:1.045054316520691 , circleloss[loss flair->t1:0.494158, loss t1->t1c:0.522313, loss t1c->t2:0.563467, loss t2->flair:0.518033, ], use_modality:[2, 1, 0, 3]
[19:21:52] Epoch 1/200, Iter 61/228,Total Loss 0.502779, Loss_seg 1.622515,fusecross:0.633340, fusedice:0.989175,spec_modal_loss:0.7716606259346008 , circleloss[loss flair->t1:0.502436, loss t1->t1c:0.512300, loss t1c->t2:0.562736, loss t2->flair:0.502779, ], use_modality:[2, 0, 3, 1]
